review_id,product_sku,star_rating,review_text,review_date,verified_purchase
PR-000001,LUMEN-WATCH-X,1,"Amazing job, Lumen—now my login login never completes!! Please fix this.",2025-02-18,True
PR-000002,LUMEN-BUDS-2,2,"Honestly, the onboarding onboarding is broken. Also, the charge won't hold a charg. Also, the audio audio cuts out.",2026-02-27,True
PR-000003,LUMEN-WATCH-X,1,"Quick update, the bluetooth forgets my device. Also, the screen became painfully slow. Support, can you help?",2026-03-03,False
PR-000004,LUMEN-BUDS-2,3,"Three weeks in, the microphone volume is too low. Also, the screen hurts after an hour. Hope the next patch sorts it out.",2025-12-18,False
PR-000005,LUMEN-BUDS-2,2,"Quick update, the battery barely lasts 2 hours. Also, the firmware keeps crashing. Hope the next patch sorts it out.",2025-09-01,True
PR-000006,LUMEN-HUB-MINI,2,"Since yesterday, the login onboarding is broken.",2026-05-03,False
PR-000007,LUMEN-BUDS-2,2,"I love how this fits perfectly, but the app became painfully slow. Would not recommend right now.",2026-05-10,False
PR-000008,LUMEN-WATCH-X,2,"Amazing job, Lumen—now my noise cancellation volume is too low. Support, can you help?",2025-07-22,True
PR-000009,LUMEN-WATCH-X,2,"Three weeks in, the connection forgets my device. Also, the performance keeps crashing. Hope the next patch sorts it out.",2026-02-24,True
PR-000010,LUMEN-HUB-MINI,3,"After the latest update, the charge dies before lunch. Would not recommend right now.",2026-03-31,True
PR-000011,LUMEN-BUDS-2,5,"Three weeks in, the screen was easy to set up.",2025-09-15,False
PR-000012,LUMEN-WATCH-X,4,"Three weeks in, the bluetooth was easy to set up. This is getting old.",2026-01-21,False
PR-000013,LUMEN-BUDS-2,2,"I love how this made my routine easier, but the pairing forgets my device. Would not recmmend right now.",2025-11-10,True
PR-000014,LUMEN-BUDS-2,1,"Quick update, the battery dies before lunch!!",2025-12-13,True
PR-000015,LUMEN-BUDS-2,3,"Honestly, the firmware stutters constantly. ugh",2025-01-19,False
PR-000016,LUMEN-WATCH-X,4,"Not gonna lie, the onboarding looks fantastic.",2025-05-08,True
PR-000017,LUMEN-BUDS-2,1,"Since yesterday, the battery life barely lasts 3 hours. Please fix this.",2025-08-17,True
PR-000018,LUMEN-WATCH-X,2,"After the latest update, the performance freezes every few minutes!!",2026-03-21,True
PR-000019,LUMEN-BUDS-2,2,"Quick update, the screen freezes every few minutes.",2025-09-29,True
PR-000020,LUMEN-BUDS-2,1,"After the latest update, the battery dies before lunch. Support, can you help?",2026-01-16,True
PR-000021,LUMEN-HUB-MINI,2,"Honestly, the poer drain drains while idle.",2025-07-19,True
PR-000022,LUMEN-BUDS-2,1,"Sadly, the connection reffuses to pair... Please fix this.",2026-05-12,True
PR-000023,LUMEN-BUDS-2,2,"For the price, the battery dies before lunch. Expected better from Lumen.",2025-09-02,True
PR-000024,LUMEN-HUB-MINI,2,"After the latest update, the installation login never completes. Hope the next patch sorts it out.",2026-05-08,True
PR-000025,LUMEN-WATCH-X,1,"For the price, the microphone noise cancellation got worse.",2025-12-29,False
PR-000026,LUMEN-WATCH-X,3,"Sadly, the battery won't hold a charge. Would not recommend right now.",2025-08-24,True
PR-000027,LUMEN-BUDS-2,1,"Not gonna lie, the soound volume is too low.",2025-12-27,False
PR-000028,LUMEN-WATCH-X,2,"I love how this works exactly as promised, but the connection won't sync. Hope the next patcch sorts it out. ???",2025-03-20,True
PR-000029,LUMEN-BUDS-2,5,"After the latest update, the installation has excellent sound. This is getting old.",2025-03-24,True
PR-000030,LUMEN-WATCH-X,1,"Since yesterday, the box package was already open. Please fix this.",2026-06-08,True
PR-000031,LUMEN-WATCH-X,2,"After the latest update, the noise cancellation noise cancellation got worse. This is getting old.",2026-03-17,True
PR-000032,LUMEN-WATCH-X,3,"Sadly, the delivery works exactly as promised. This is getting old.",2025-05-26,True
PR-000033,LUMEN-WATCH-X,3,"I love how this feels premium, but the sound noise cancellation got worse.",2025-12-30,False
PR-000034,LUMEN-BUDS-2,2,"I love how this is surprisingly responsive, but the replacement package was already open.",2026-01-03,True
PR-000035,LUMEN-HUB-MINI,1,"Three weeks in, the onboarding account linking fails.",2025-03-19,True
PR-000036,LUMEN-HUB-MINI,5,"After the latest update, the interface feels premium. Wouuld not recommend right now.",2025-10-30,True
PR-000037,LUMEN-HUB-MINI,3,"Not gonna lie, the replacement arrived late. Expected better from Lumen.",2025-10-19,True
PR-000038,LUMEN-BUDS-2,2,"Since yesterday, the box wrong item was shipped. Also, the volume noise cancellation got worse. This is getting old.",2025-01-25,True
PR-000039,LUMEN-WATCH-X,5,"Honestly, the battery life works exatly as promised.",2025-07-03,True
PR-000040,LUMEN-BUDS-2,1,"Sadly, the battery life drains while idle. Also, the setup onboarding is broken.",2025-12-28,True
PR-000041,LUMEN-HUB-MINI,4,"Three weeks in, the battery feels premium. Please fix this.",2025-07-20,True
PR-000042,LUMEN-BUDS-2,3,"I love how this works exactly as promised, but the battery barely lasts 4 hours. Expected better from Lumen.",2025-11-24,False
PR-000043,LUMEN-WATCH-X,1,"After the latest update, the microphone microphone sounds muffled. #notimpressed",2025-01-10,True
PR-000044,LUMEN-WATCH-X,1,"Quick update, the onboarding setup loops forever. Would not recommend right now.",2026-01-06,False
PR-000045,LUMEN-BUDS-2,2,"Since yesterday, the package wrong item was shipped. Support, can you help?",2026-03-27,True
PR-000046,LUMEN-HUB-MINI,2,"For the price, the design screen is hard to read. Expected better from Lumen.",2025-03-13,True
PR-000047,LUMEN-WATCH-X,1,"Five stars for making sure the sound audio cuts out. Just kidding. Support, can you help?",2026-06-09,True
PR-000048,LUMEN-HUB-MINI,4,"I love how this made my routine easier, but the connection forgets my device. Expected better from Lumen.",2026-05-20,True
PR-000049,LUMEN-BUDS-2,5,"For the price, the pairing was easy to set up. Would not recommend right now.",2025-04-10,True
PR-000050,LUMEN-WATCH-X,1,"Honestly, the installation login never completes. Also, the screen became painfully slow. Please fix this.",2026-05-25,False
PR-000051,LUMEN-BUDS-2,3,"Quck update, the wifi won't sync. Please fix this.",2026-05-25,True
PR-000052,LUMEN-WATCH-X,4,"After the latest update, the installation setup loops forever. Would not recommend right now.",2026-04-19,True
PR-000053,LUMEN-BUDS-2,1,"Honestly, the onboarding instructions are confusing. Also, the power drain dies before lunch. Expected better from Lumen.",2025-05-27,True
PR-000054,LUMEN-BUDS-2,2,"I love how this has excellent sound, but the installation setup loops forever.",2025-05-10,False
PR-000055,LUMEN-BUDS-2,1,"Three weeeks in, the performance lags after every tap.",2026-05-15,True
PR-000056,LUMEN-BUDS-2,2,"Sadly, the charging won't hold a charge... Hope the next patch sorts it out.",2026-05-18,True
PR-000057,LUMEN-BUDS-2,2,"Honestly, the screen freezes every few minutes.",2025-08-23,True
PR-000058,LUMEN-BUDS-2,4,"Not gonna lie, the setup account linking fails. Also, the charging drains while idle.",2025-11-19,False
PR-000059,LUMEN-BUDS-2,1,"After the latest update, the connection drops the connection.",2025-05-05,True
PR-000060,LUMEN-BUDS-2,5,"Sadly, the charging looks fantastic. Hope the next patch sorts it out.",2025-05-17,True
PR-000061,LUMEN-BUDS-2,2,"I love how this looks fantastic, but the login instructions are confusing. Also, the case screen is hard to read. Also, the microphone microphone sounds muffled.",2026-03-14,True
PR-000062,LUMEN-WATCH-X,2,"For the price, the onboarding login never completes. Hope the next patch sorts it out.",2026-05-08,True
PR-000063,LUMEN-WATCH-X,2,"Since yesterday, the power drain drains while idle.",2026-01-10,False
PR-000064,LUMEN-BUDS-2,2,"Quick update, the screen lags after every tap.",2025-12-16,False
PR-000065,LUMEN-HUB-MINI,3,"Sadly, the battery life won't hold a charge.",2025-08-25,True
PR-000066,LUMEN-WATCH-X,4,"For the price, the battery barely lasts 5 hours. Expected better from Lumen.",2025-07-27,False
PR-000067,LUMEN-WATCH-X,1,"Honestly, the connection won't sync. Also, the power drain dies before lunch. Expected better from Lumen.",2025-09-25,True
PR-000068,LUMEN-BUDS-2,3,"Quick update, the installation setup loops forever.",2025-12-23,True
PR-000069,LUMEN-BUDS-2,3,"Three weeks in, the battery made my routine easier.",2025-12-14,True
PR-000070,LUMEN-HUB-MINI,1,"I love how this made my routine easier, but the noise cancellation audio cuts out. Also, the installation onboarding is broken. Would not recommend right now.",2025-02-21,False
PR-000071,LUMEN-WATCH-X,1,"Since yesterday, the charging needs charging twice a day. This is getting old. ugh",2025-02-19,True
PR-000072,LUMEN-WATCH-X,2,"Three weeks in, the microphone sound crackles. Hope the next patch sorts it out.",2025-05-19,True
PR-000073,LUMEN-BUDS-2,1,"I love how this looks fantastic, but the sound volume is too low. Also, the replacement replacement never came. Expected better from Lumen.",2026-02-02,True
PR-000074,LUMEN-BUDS-2,1,"Sadly, the screen buttons feel cheap.",2026-02-22,True
PR-000075,LUMEN-HUB-MINI,5,"After the latest update, the package fits perfectly. Hope the next patch sorts it out.",2025-04-24,True
PR-000076,LUMEN-BUDS-2,2,"Quick update, the performance lags after every tap. ???",2026-01-02,True
PR-000077,LUMEN-WATCH-X,1,"After the latest update, the connection won't sync. Hope the next patch sorts it out.",2025-02-17,True
PR-000078,LUMEN-BUDS-2,3,"Sadly, the login account linking fails. Also, the noise cancellation noise cancellation got worse. Expected better from Lumen.",2026-05-27,True
PR-000079,LUMEN-BUDS-2,3,"Since yesterday, the charging dies before lunch... Also, the login setup loops forever. Also, the design buttons feel cheap.",2025-01-03,True
PR-000080,LUMEN-WATCH-X,3,"For the price, the charge looks fantastic. Support, can you help?",2026-01-27,True
PR-000081,LUMEN-BUDS-2,2,"Honetly, the performance stutters constantly. Please fix this.",2025-08-24,True
PR-000082,LUMEN-HUB-MINI,4,"Since yesterday, the power drain made my routine easier...",2025-06-11,True
PR-000083,LUMEN-WATCH-X,2,"After the latest update, the shipping package was already open. Hope the next patch sorts it out.",2026-03-01,False
PR-000084,LUMEN-BUDS-2,1,"Three weeks in, the delivery arrived late. Support, can you help?",2026-04-02,True
PR-000085,LUMEN-WATCH-X,4,"After the latest update, the charge works exactly as promised. Please fix this.",2025-09-05,True
PR-000086,LUMEN-WATCH-X,1,"Honestly, the battery life drains while idle.",2025-03-20,True
PR-000087,LUMEN-HUB-MINI,5,"Since yesterday, the power drain was easy to set up.",2026-06-10,True
PR-000088,LUMEN-BUDS-2,1,Exactly what I wantedd: a device that setup loops forever.,2025-05-11,True
PR-000089,LUMEN-WATCH-X,4,"Not gonna lie, the account made my routine easier. Expected better from Lumen.",2025-03-04,True
PR-000090,LUMEN-BUDS-2,2,"Sadly, the design hurts after an hour.",2025-03-10,True
PR-000091,LUMEN-HUB-MINI,1,"I love how this has excellent sound, but the case screen is hard to read. Also, the battery barely lasts 5 hours. Also, the screen freezes every few minutes. Support, can you help?",2025-02-24,True
PR-000092,LUMEN-BUDS-2,3,"Quick update, the power drain works exacty as promised!! This is getting old.",2026-01-23,True
PR-000093,LUMEN-HUB-MINI,1,"Sadly, the audio audio cuts out. Also, the charging dies before lunch.",2025-11-20,True
PR-000094,LUMEN-WATCH-X,3,"After the latest update, the microphone microphone sounds muffled. Support, can you help?",2025-09-08,True
PR-000095,LUMEN-WATCH-X,5,"For the price, the pairing works exactly as promised. This is getting old.",2025-03-28,True
PR-000096,LUMEN-BUDS-2,1,"For the price, the screen keeps crashing. Would not recommend right now.",2025-03-23,True
PR-000097,LUMEN-BUDS-2,1,"After the latest update, the bluetooth drops the connection.",2026-03-05,True
PR-000098,LUMEN-BUDS-2,2,"Three weeks in, the app lags after every tap. Would not recommend right now.",2025-11-30,True
PR-000099,LUMEN-WATCH-X,4,"Sadly, the pairing made my routine easier. Hope the next patch sorts it out.",2025-09-18,True
PR-000100,LUMEN-BUDS-2,2,"After the latest update, the audio microphone sounds muffled. Would not recommend right now.",2025-09-16,False
PR-000101,LUMEN-BUDS-2,2,"Not gonna lie, the pairing drops the connection. This is getting old.",2025-07-07,True
PR-000102,LUMEN-WATCH-X,2,"Quick update, the account setup loops forever. Also, the delivery replacement never came. Support, can you help?",2025-10-27,False
PR-000103,LUMEN-WATCH-X,3,"I love how this looks fantastic, but the account onboarding is broken.",2025-05-27,True
PR-000104,LUMEN-BUDS-2,2,"Not gonna lie, the login account linking fails. This is getting old.",2026-03-13,True
PR-000105,LUMEN-WATCH-X,2,"Sadly, the firmware became painfully slow. Expected better from Lumen.",2025-11-05,True
PR-000106,LUMEN-BUDS-2,1,"After the latest update, the setup account linking fails. Also, the screen freezes every few minutes. Support, can you help?",2025-07-02,True
PR-000107,LUMEN-HUB-MINI,2,"Honestly, the shipping arrived late. Expected better from Lumen.",2025-12-31,True
PR-000108,LUMEN-WATCH-X,2,"Since yesterday, the fit buttons feel cheap.",2025-03-07,True
PR-000109,LUMEN-WATCH-X,5,"Not gonna lie, the performance works exactly as promised.",2026-05-21,True
PR-000110,LUMEN-HUB-MINI,1,"Honestly, the onboarding onboarding is broken. Hope the next patch sorts it out.",2025-12-16,True
