ticket_id,customer_id,ticket_text,category_tag,resolution_time_hours,created_date
ST-000001,CUST-104332,"Not gonna lie, the performance stutters constantly. Would not recommend right now.",,3.97,2025-12-01
ST-000002,CUST-181960,"Three weeks in, the firmware lags after every tap. Hope the next patch sorts it out.",,8.41,2026-06-16
ST-000003,CUST-013389,"Sadly, the fit screen is hard to read. Would not recommend right now.",,6.21,2025-08-31
ST-000004,CUST-083863,"Not gonna lie, the package package was already open. Also, the buttons buttons feel cheap. This is getting old.",,2.85,2025-12-28
ST-000005,CUST-794026,"I love how this has excellent sound, but the screen lags after every tap. Also, the battery barely lasts 2 hours. Also, the login instructions are confusing. Please fix this.",,28.91,2025-01-11
ST-000006,CUST-542351,"I love how this made my routine easier, but the installation login never completes. Also, the screen buttons feel cheap.",,7.95,2026-02-17
ST-000007,CUST-161559,"Sadly, the charging won't hold a charge.",,30.12,2026-01-12
ST-000008,CUST-407816,"After the latest update, the auddio noise cancellation got worse. Also, the firmware lags after every tap.",,7.27,2025-02-14
ST-000009,CUST-184959,"After the latest update, the interface lags after every tap. Also, the package package was already open.",,7.64,2025-06-21
ST-000010,CUST-310341,"Since yesterday, the battery life dies before lunch. Hope the next patch sorts it out. smh",,13.55,2025-11-05
ST-000011,CUST-316475,"Since yesterday, the firmware stutters constantly. Expected better from Lumen.",,3.59,2025-05-22
ST-000012,CUST-255341,"Three weeks in, the case screen is hard to read. :/",,5.27,2025-11-21
ST-000013,CUST-928327,"Honestly, the noise cancellation volume is too low. Please fix this.",,23.1,2025-07-25
ST-000014,CUST-648350,"Not gonna lie, the interface keeps crashing. Also, the charging barely lasts 2 hours.",,3.22,2025-08-12
ST-000015,CUST-305641,"Not gonna lie, the package wrong item was shipped. Would not recommend right now.",,12.32,2025-02-19
ST-000016,CUST-395376,"For the price, the power drain drains while idle. Please fix this.",battery,14.09,2025-03-25
ST-000017,CUST-724238,"Since yesterday, the buttons hurts after an hour. Also, the delivery arrived late. Support, can you help?",design,12.92,2025-04-06
ST-000018,CUST-849696,"Quick update, the login setup loops forever. Please fix this.",,9.62,2026-04-14
ST-000019,CUST-532871,"Honestly, the microphone microphone sounds muffled. Also, the sync disconnects at random.",,4.32,2026-04-07
ST-000020,CUST-012269,"I love how this made my routine easier, but the fit buttons feel cheap.",design,7.89,2026-05-02
ST-000021,CUST-166978,"Three weks in, the battery life drains while idle. Expected better from Lumen.",battery,10.4,2025-06-20
ST-000022,CUST-480184,"I love how this is surprisingly responsive, but the battery barely lasts 5 hours.",,13.68,2025-08-20
ST-000023,CUST-514627,"I love how this feels premium, but the bluetooth forgets my device. Also, the battery life won't hold a charge. Also, the case hurts after an hour. Please fix this.",,19.16,2025-05-18
ST-000024,CUST-048281,"Honestly, the battery needs charging twice a day. Also, the replacement wrong item was shipped. Please fix this.",,12.01,2026-02-09
ST-000025,CUST-489325,"After the latest update, the design buttons feel cheap. Would not recommend right now.",,16.74,2025-06-03
ST-000026,CUST-288095,"For the price, the account account linking fails. Hope the next patch sorts it out.",,12.14,2026-01-28
ST-000027,CUST-701543,"Sadly, the installation onboarding is broken. Expected better from Lumen.",,4.5,2026-01-11
ST-000028,CUST-039117,"Three weeks in, the charge barely lasts 4 hours. Please fix this.",battery,8.71,2025-06-25
ST-000029,CUST-182278,"Amazing job, Lumen—now my fit fit is uncomfortable. Also, the onboarding instructions are confusing. Expected better from Lumen.",,2.81,2025-08-08
ST-000030,CUST-248963,"For the price, the app keeps crashing. Would not recommend right now.",,33.26,2025-04-30
ST-000031,CUST-834657,"Love paying premium prices so the charge barely lasts 4 hours. Also, the connection disconnects at random. Expected better from Lumen.",,24.84,2025-07-24
ST-000032,CUST-871331,"Quick update, the battery life dies before lunch.",,4.6,2025-08-03
ST-000033,CUST-509839,"Sadly, the account login never completes. Expected better from Lumen.",,3.09,2025-07-30
ST-000034,CUST-301031,"Honestly, the setup login never compltes.",,5.36,2025-01-03
ST-000035,CUST-051834,"I love how this was easy to set up, but the shipping wrrong item was shipped.",,9.01,2025-09-02
ST-000036,CUST-738299,"Not gonna lie, the onboarding instructions are confusing. Would not recommend right now.",setup,18.91,2026-02-03
ST-000037,CUST-737631,"I love how this has excellent sound, but the charge needs charging twice a day. Also, the screen buttons feel cheap. Support, can you help?",,15.31,2025-12-31
ST-000038,CUST-165667,"For the price, the battery barely lasts 3 hours. This is getting old. ???",,2.06,2025-10-22
ST-000039,CUST-010651,"I love how this works exactly as promised, but the package replacement never came.",delivery,22.2,2026-06-07
ST-000040,CUST-333872,"For the price, the wifi won't sync.",,7.48,2026-05-13
ST-000041,CUST-624731,"For the price, the shipping box was damaged. Please fix this.",,8.76,2025-01-10
ST-000042,CUST-781080,"Not gonna lie, the sound audio cuts out. Would not recommend right now.",,10.14,2025-03-24
ST-000043,CUST-132677,"Not gonna lie, the connection refuses to pair.",,4.11,2025-04-02
ST-000044,CUST-360260,"For the price, the power drain drains while idle. Also, the audio sound crackles.",,27.99,2025-09-22
ST-000045,CUST-647468,"Sadly, the screen buttons feel cheap.",,7.44,2026-03-14
ST-000046,CUST-723430,"I love how this fits perfectly, but the connection forgets my device. Also, the charging dies before lunch. Hope the next patch sorts it out.",,4.94,2026-04-15
ST-000047,CUST-980500,"Since yesterday, the firmware lags after every tap. Expected better from Lumen.",,9.31,2025-05-28
ST-000048,CUST-978820,"Quick update, the box box was damaged. Please fix this.",,7.79,2026-04-26
ST-000049,CUST-812191,"Since yesterday, the audio sound crackles.",audio,7.84,2026-02-01
ST-000050,CUST-361939,"After the latest update, the fit hurts after an hour. Also, the power drain drains while idle.",,6.83,2025-11-15
ST-000051,CUST-909169,"Three weeks in, the login fits perfectly. Would not recommend right now.",setup,3.11,2026-03-14
ST-000052,CUST-985435,"I love how this has excellent sound, but the battery life needs charging twice a day.",,5.49,2025-07-10
ST-000053,CUST-346247,"After the latest update, the installation setup loops forever.",,16.38,2025-02-25
ST-000054,CUST-510799,"I love how this made my routine easier, but the replacement arrived late. Expected better from Lumen.",delivery,6.58,2025-02-26
ST-000055,CUST-118384,"Quick update, the wifi forets my device. Expected better from Lumen.",,15.0,2025-06-01
ST-000056,CUST-251354,"For the price, the shipping package was already open. Please fix this.",delivery,2.64,2025-06-24
ST-000057,CUST-278498,"Sadly, the bluetooth drops the connection. Also, the setup onboarding is broken. Also, the sound microphone sounds muffled.",,3.35,2025-09-14
ST-000058,CUST-084124,"Since yesterday, the battery life barely lasts 6 hours. Expected better from Lumen. ???",,8.8,2025-03-01
ST-000059,CUST-118244,"After the latest update, the firmware keeps crashing. Also, the battery life won't hold a charge. Please fix this.",,31.65,2025-06-17
ST-000060,CUST-935348,"Honestly, the charging was easy to set up. Hope the next patch sorts it out.",,7.33,2026-04-01
ST-000061,CUST-740164,"Not gonna lie, the microphone sound crackles... This is getting old.",,2.63,2026-02-22
ST-000062,CUST-005242,"Amazing job, Lumen—now my onboarding account linking fails. This is getting old.",setup,8.12,2025-04-13
ST-000063,CUST-786801,"I love how this feels premium, but the sound microphone sounds muffled. Also, the firmware keeps crashing.",,11.21,2025-11-05
ST-000064,CUST-128059,"Three weeks in, the setup onboarding is broken. This is getting old.",setup,3.41,2025-06-30
ST-000065,CUST-826204,"After the latest update, the battery life needs charging twice a day.",,10.65,2025-08-31
ST-000066,CUST-505331,"I love how this woorks exactly as promised, but the performance became painfully slow. Would not recommend right now.",,3.31,2026-01-29
ST-000067,CUST-586923,"Honestly, the interface stutters constantly. This is getting old.",,29.61,2025-05-19
ST-000068,CUST-226025,"After the latest update, the account setup loops forever. Expected better from Lumen. #notimpressed",,3.01,2025-05-24
