record_id,source,date,product_sku,star_rating,text,clean_text,vader_base_compound,vader_compound,vader_sentiment,topic,month,severity,period,analysis_sentiment,simulated_post_fix_sentiment
PR-000014,product_reviews,2025-12-13,LUMEN-BUDS-2,1.0,"Quick update, the battery dies before lunch!!",quick update battery dies before lunch,0.0,-0.34,negative,Battery & charging,2025-12-01,0.34,before,-0.34,
PR-000020,product_reviews,2026-01-16,LUMEN-BUDS-2,1.0,"After the latest update, the battery dies before lunch. Support, can you help?",latest update battery dies before lunch support can you help,0.6597,-0.020300000000000096,neutral,Battery & charging,2026-01-01,0.020300000000000096,before,-0.020300000000000096,
PR-000040,product_reviews,2025-12-28,LUMEN-BUDS-2,1.0,"Sadly, the battery life drains while idle. Also, the setup onboarding is broken.",sadly battery life drains while idle also setup onboarding broken,-0.7096,-1.0,negative,Battery & charging,2025-12-01,1.0,before,-1.0,
PR-000042,product_reviews,2025-11-24,LUMEN-BUDS-2,3.0,"I love how this works exactly as promised, but the battery barely lasts 4 hours. Expected better from Lumen.",i love works exactly as promised battery barely lasts hours expected better from lumen,0.802,0.462,positive,Battery & charging,2025-11-01,0.0,before,0.462,
PR-000058,product_reviews,2025-11-19,LUMEN-BUDS-2,4.0,"Not gonna lie, the setup account linking fails. Also, the charging drains while idle.",not gonna_NEG lie_NEG setup account linking fails also charging drains while idle,-0.4215,-1.0,negative,Battery & charging,2025-11-01,1.0,before,-1.0,
PR-000063,product_reviews,2026-01-10,LUMEN-WATCH-X,2.0,"Since yesterday, the power drain drains while idle.",since yesterday power drain drains while idle,0.0,-0.34,negative,Battery & charging,2026-01-01,0.34,before,-0.34,
PR-000069,product_reviews,2025-12-14,LUMEN-BUDS-2,3.0,"Three weeks in, the battery made my routine easier.",three weeks battery made routine easier,0.4215,0.4215,positive,Battery & charging,2025-12-01,0.0,before,0.4215,
PR-000080,product_reviews,2026-01-27,LUMEN-WATCH-X,3.0,"For the price, the charge looks fantastic. Support, can you help?",price charge looks fantastic support can you help,0.8402,0.8402,positive,Battery & charging,2026-01-01,0.0,before,0.8402,
PR-000092,product_reviews,2026-01-23,LUMEN-BUDS-2,3.0,"Quick update, the power drain works exacty as promised!! This is getting old.",quick update power drain works exacty as promised getting old,0.4738,0.4738,positive,Battery & charging,2026-01-01,0.0,before,0.4738,
PR-000093,product_reviews,2025-11-20,LUMEN-HUB-MINI,1.0,"Sadly, the audio audio cuts out. Also, the charging dies before lunch.",sadly audio audio cuts out also charging dies before lunch,-0.6124,-1.0,negative,Battery & charging,2025-11-01,1.0,before,-1.0,
