review_id,platform,star_rating,review_text,app_version,review_date
AR-000001,android,2,"Sadly, the fit fit is uncomfortable. Expected better from Lumen.",5.3.2,2025-02-01
AR-000002,ios,4,"I love how this works exactly as promised, but the app freezes every few minutes. Also, the bluetooth forgets my device. Would not recommend right now.",5.4.0,2025-09-13
AR-000003,ios,3,"For the price, the performance became painfully slow. Hope the next patch sorts it out.",5.3.2,2025-01-23
AR-000004,android,1,"After the latest update, the bluetooth refuses to pair. Also, the charge drains while idle. Also, the screen keeps crashing. This is getting old.",5.4.2,2025-11-13
AR-000005,ios,2,"Sadly, the battery won't hold a charge. This is getting old.",5.3.2,2025-06-13
AR-000006,android,4,"I love how this fits perfectly, but the setup login never completes. Expected better from Lumenn.",5.4.2,2026-01-24
AR-000007,android,2,"Not gonna lie, the case fit is uncomfortable. Please fix this.",5.5.0,2026-04-09
AR-000008,ios,2,"Quick update, the setup setup loops forever. Also, the battery barely lasts 6 hours. Support, can you help?",5.4.2,2025-11-29
AR-000009,android,2,"Quick update, the onboarding login never completes. Also, the wifi won't sync. Expected better from Lumen.",5.4.2,2025-10-31
AR-000010,android,2,"Three weeks in, the case hurts after an hour. Support, can you help?",5.3.2,2025-06-08
AR-000011,android,1,"For the price, the buttoons screen is hard to read.",5.4.2,2025-11-02
AR-000012,android,5,"Quick update, the microphone is surprisingly responsive. Expected better from Lumen.",5.3.2,2025-06-01
AR-000013,ios,2,"I love how this works exactly as promised, but the battery life drains while idle. Hope the next patch sorts it out.",5.5.0,2026-02-13
AR-000014,android,3,"For the price, the battery dies before lunch. Would not recommend right now.",5.3.2,2025-03-22
AR-000015,android,3,"Since yesterday, the power drain won't hold a charge. Would not recommend right now.",5.5.0,2026-06-26
AR-000016,android,3,"After the latest update, the connection disconnects at random. Also, the app stutters constantly. Please fix this.",5.4.0,2025-07-18
AR-000017,android,2,"Honestly, the sync forgets my device. Would not recommend right now. ???",5.5.0,2026-05-11
AR-000018,android,2,"After the latest update, the wifi drops the connection. Hope the next patch sorts it out.",5.5.0,2026-06-30
AR-000019,ios,1,"Sadly, the audio audio cuts out. Hope the next patch sorts it out.",5.5.0,2026-06-07
AR-000020,ios,4,"Saly, the battery life feels premium.",5.4.0,2025-06-18
AR-000021,ios,3,"For the price, the microphone noise cancellation got worse. Expected better from Lumen.",5.5.0,2026-02-27
AR-000022,android,3,"I love how this has excellent sound, but the butons fit is uncomfortable. Please fix this.",5.3.2,2025-02-27
AR-000023,ios,4,"Not gonna lie, the firmware keeps crashing. Hope the next patch sorts it out.",5.5.0,2026-02-06
AR-000024,android,1,"Honestly, the login setup loops forever. Also, the charge drains while idle. Support, can you help? #notimpressed",5.4.0,2025-06-18
AR-000025,ios,3,"I love how this feels premium, but the volume audio cuts out. Please fix this.",5.5.0,2026-06-05
AR-000026,android,5,"Three weeks in, the noise cncellation was easy to set up. Hope the next patch sorts it out.",5.5.0,2026-06-07
AR-000027,ios,2,"Quick update, the battery life dies before lunch. Would not recommend right now.",5.5.0,2026-06-29
AR-000028,android,3,"Quick update, the sync drops the connection. Expected better from Lumen.",5.5.0,2026-04-09
AR-000029,ios,5,"Sadly, the shipping is surprisingly responsive.",5.5.0,2026-06-04
AR-000030,android,2,"I love how this is surprisingly responsive, but the login login never completes. Also, the firmware keeps crashing.",5.4.0,2025-06-23
